,Status,Class,Type,Full Baths,HBA,Beds,Apx SQFT,Apx ACR,Sale Year,Sale Price,TotalBaths,PPSF,BathsPerBed,SqftPerAcre,BedsPerSqft
47,Sold,Residential,Rural Residential,2.0,0.0,3.0,1800.0,0.5,2017,105989.796,2.0,58.88322,0.6666666666666666,3529.4117647058824,0.0016666574074588475
48,Sold,Residential,Rural Residential,1.0,0.0,2.0,1244.0,7.37,2019,101562.5,1.0,81.64188102893891,0.5,168.56368563685638,0.0016077041181340986
49,Sold,Residential,Rural Residential,1.0,1.0,2.0,1167.0,0.34,2017,106122.449,1.5,90.93611739502998,0.75,3334.2857142857138,0.001713781372910258
50,Sold,Residential,Rural Residential,1.0,0.0,2.0,1024.0,0.45,2021,96420.664,1.0,94.1608046875,0.5,2226.086956521739,0.0019531059266999346
51,Sold,Residential,Rural Residential,2.0,0.0,3.0,1216.0,8.1,2023,86844.262,2.0,71.41797861842106,0.6666666666666666,149.9383477188656,0.0024670849746301427
52,Sold,Residential,Rural Residential,2.0,0.0,3.0,1795.0,5.0,2016,110580.913,2.0,61.60496545961003,0.6666666666666666,358.28343313373256,0.0016712998813377083
53,Sold,Residential,Rural Residential,1.0,0.0,3.0,1008.0,1.01,2021,98339.483,1.0,97.55901091269841,0.3333333333333333,988.2352941176471,0.0029761609507842185
54,Sold,Residential,Rural Residential,2.0,0.0,3.0,1525.0,2.0,2018,106822.709,2.0,70.04767803278689,0.6666666666666666,758.7064676616916,0.0019672002150805568
56,Sold,Residential,Rural Residential,1.0,0.0,3.0,1072.0,0.46,2025,85000.0,1.0,79.2910447761194,0.3333333333333333,2280.851063829787,0.002798481357450024
57,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,0.0,3.0,1152.0,0.35,2024,87420.886,2.0,75.88618576388889,0.6666666666666666,3200.0,0.0026041440612494682
58,Sold,Residential,Rural Residential,1.0,1.0,3.0,1730.0,0.5,2017,112755.102,1.5,65.17635953757225,0.5,3392.156862745098,0.0017340940225779042
59,Sold,Residential,Rural Residential,1.0,1.0,3.0,1109.0,0.4,2019,111083.984,1.5,100.16590081154193,0.5,2704.8780487804875,0.002705115373170666
60,Sold,Residential,Rural Residential,1.0,0.0,3.0,1104.0,0.5,2022,97833.904,1.0,88.61766666666666,0.3333333333333333,2164.705882352941,0.0027173666905191077
61,Sold,Residential,Rural Residential,1.0,0.0,2.0,1153.0,0.16,2024,90506.329,1.0,78.49638248048569,0.5,6782.35294117647,0.0017345903331280736
62,Sold,Residential,Rural Residential,2.0,0.0,3.0,1914.0,1.0,2018,115239.044,2.0,60.208486938349004,0.6666666666666666,1895.049504950495,0.0015673899300421628
63,Sold,Residential,Rural Residential,1.0,1.0,4.0,1512.0,1.0,2018,115886.454,1.5,76.64448015873016,0.375,1497.029702970297,0.0026454851489077454
64,Sold,Residential,Rural Residential,1.0,0.0,3.0,1200.0,0.16,2023,95581.967,1.0,79.65163916666667,0.3333333333333333,7058.823529411764,0.0024999791668402762
65,Sold,Residential,Rural Residential,1.0,0.0,3.0,1530.0,1.0,2020,113246.124,1.0,74.01707450980392,0.3333333333333333,1514.851485148515,0.0019607714982255017
66,Sold,Residential,Rural Residential,2.0,0.0,3.0,1508.0,0.75,2017,119387.755,2.0,79.16959880636605,0.6666666666666666,1984.2105263157894,0.0019893767282710326
67,Sold,Residential,Mobile/Mod/Mfg w/Property,3.0,0.0,4.0,2240.0,19.0,2020,113372.093,3.0,50.61254151785714,0.75,117.83271962125197,0.0017857063138110988
69,Sold,Residential,Rural Residential,1.0,1.0,3.0,1328.0,0.41,2016,121369.295,1.5,91.39254141566265,0.5,3161.904761904762,0.0022590191338920642
70,Sold,Residential,Rural Residential,2.0,0.0,3.0,1816.0,1.5,2019,115527.344,2.0,63.61637885462555,0.6666666666666666,1202.6490066225165,0.001651973282085451
71,Sold,Residential,Rural Residential,2.0,0.0,3.0,2106.0,1.18,2018,117828.685,2.0,55.94904320987654,0.6666666666666666,1769.747899159664,0.0014244946605191807
72,Sold,Residential,Rural Residential,1.0,0.0,2.0,1444.0,3.83,2020,115891.473,1.0,80.2572527700831,0.5,376.0416666666667,0.0013850319596124682
